m_bene,genere,regione,provincia,comune,indirizzo
I-SS-111490,immobili,Sardegna,Sassari,Alghero,VIA EUROPA N. 85
I-SS-111484,immobili,Sardegna,Sassari,Sassari,"VIALE UMBERTO I, N. 68"
I-SS-122176,immobili,Sardegna,Sassari,Sassari,VIA DALMAZIA N. 21
I-SS-122189,immobili,Sardegna,Sassari,Sassari,VIALE UMBERTO I N. 68
I-CA-178778,immobili,Sardegna,Cagliari,Quartu Sant'Elena,VIA IRLANDA 58
